Airportname,Year,month,value
Abakan,2020,1,43.58
Anapa (Vitjazevo),2020,1,49.08
Arkhangelsk (Talagy),2020,1,96.0
Astrakhan (Narimanovo),2020,1,53.55
Trip,2020,1,1.5
Barnaul (Titov Name),2020,1,163.4
Belgorod,2020,1,5.24
Novy Urengoy,2020,1,5.5
Blagoveshchensk (Ignatevo),2020,1,156.7
Bogorodskoe,2020,1,0.12
Bugulma,2020,1,1.62
Vladivostok (Knevichi),2020,1,1207.08
Volgograd (Gumrak),2020,1,47.0
Vorkuta,2020,1,3.75
Voronezh (Chertovitskoe),2020,1,16.03
Ekaterinburg (Koltsovo),2020,1,1028.95
Zeyskaya,2020,1,0.24
Ivanovo (Yuzhny),2020,1,0.01
Izhevsk,2020,1,45.27
Irkutsk,2020,1,463.74
Kazan,2020,1,114.12
Kaluga (Grabtsevo),2020,1,4.28
Kemerovo,2020,1,70.28
Keperveem,2020,1,90.0
Kirov (Pobedilovo),2020,1,5.2
Kogalym,2020,1,2.12
Komsomolsk-on-Amur,2020,1,108.45
Krasnodar (Paszkowski),2020,1,376.93
Krasnoyarsk,2020,1,918.55
Krasnoyarsk (Cheremshanka),2020,1,26.5
Kursk (Eastern),2020,1,0.1
red,2020,1,0.25
Zabaykalsk,2020,1,15.24
Magadan (Falcon),2020,1,460.0
Makhachkala (Uytash),2020,1,239.1
Mineral water,2020,1,100.09
Peaceful,2020,1,284.94
Moscow (Vnukovo),2020,1,2987.18
Moscow (Domodedovo),2020,1,6968.21
Moscow (Sheremetyevo),2020,1,23251.2
Murmansk,2020,1,126.16
Nadym,2020,1,25.31
Nizhnevartovsk,2020,1,113.3
Kazan (Begiševo),2020,1,31.75
Nizhny Novgorod (Strigino),2020,1,39.81
Nikolaevsk-on-Amur,2020,1,3.33
Novokuznetsk (Spichenkovo),2020,1,67.1
Novosibirsk (Tolmachyovo),2020,1,1605.3
New Urengoy,2020,1,239.5
Nogliki,2020,1,2.87
Norilsk,2020,1,689.49
Noyabrsk,2020,1,38.9
Omolon,2020,1,6.0
Omsk (central),2020,1,203.0
Omsukçan,2020,1,0.08
Orenburg (central),2020,1,73.23
Okha,2020,1,4.49
Okhotsk,2020,1,77.46
Penza,2020,1,0.41
Petropavlovsk (Yelizovo),2020,1,415.53
Polar,2020,1,45.65
Samara (Kurumoch),2020,1,170.0
Saint Petersburg (Pulkovo),2020,1,1696.0
Saransk,2020,1,0.17
Sochi,2020,1,131.72
Stavropol (Shpakovskoye),2020,1,44.0
Strezhevoy,2020,1,1.4
Surgut,2020,1,201.41
Syktyvkar,2020,1,38.1
Tiksi,2020,1,24.48
Tomsk (Bogashevo),2020,1,113.68
Ust-Tsilma,2020,1,0.02
Tyumen (Roschino),2020,1,220.4
Ulyanovsk (Barataevka),2020,1,14.74
Ulyanovsk (East),2020,1,11.9
Ufa,2020,1,283.62
Khabarovsk (New),2020,1,1094.42
Khanty-Mansiysk,2020,1,29.47
Khatanga,2020,1,98.44
Herpuchi,2020,1,0.28
Cheboksary,2020,1,1.2
Chelyabinsk (Balandino),2020,1,173.34
Reads (tub),2020,1,126.92
Çumikan,2020,1,1.62
Shakhtars'k,2020,1,0.06
Yuzhno-(Khomutovo),2020,1,530.28
Yakutsk,2020,1,491.98
Yamburg,2020,1,0.01
Yaroslavl (Tunoshna),2020,1,15.0
Abakan,2019,1,44.7
Anapa (Vitjazevo),2019,1,45.92
Arkhangelsk (Talagy),2019,1,85.61
Astrakhan (Narimanovo),2019,1,51.75
Trip,2019,1,1.36
Barnaul (Titov Name),2019,1,157.3
Belgorod,2019,1,2.47
Novy Urengoy,2019,1,6.0
Blagoveshchensk (Ignatevo),2019,1,163.6
Bogorodskoe,2019,1,0.04
Bugulma,2019,1,3.17
Vladivostok (Knevichi),2019,1,1368.77
Volgograd (Gumrak),2019,1,50.0
Vorkuta,2019,1,2.35
Voronezh (Chertovitskoe),2019,1,12.94
Ekaterinburg (Koltsovo),2019,1,993.26
Zeyskaya,2019,1,0.12
Ivanovo (Yuzhny),2019,1,7.22
Irkutsk,2019,1,441.16
Kaluga (Grabtsevo),2019,1,0.7
Kemerovo,2019,1,79.14
Keperveem,2019,1,79.0
Kirov (Pobedilovo),2019,1,4.7
Kogalym,2019,1,2.47
Komsomolsk-on-Amur,2019,1,168.51
Krasnodar (Paszkowski),2019,1,312.07
Krasnoyarsk,2019,1,950.41
Krasnoyarsk (Cheremshanka),2019,1,35.53
Kursk (Eastern),2019,1,0.1
red,2019,1,1.02
Zabaykalsk,2019,1,15.58
Magadan (Falcon),2019,1,429.0
Makhachkala (Uytash),2019,1,77.0
Mineral water,2019,1,99.48
Peaceful,2019,1,284.12
Moscow (Vnukovo),2019,1,2876.41
Moscow (Domodedovo),2019,1,7272.37
Moscow (Sheremetyevo),2019,1,19422.8
Murmansk,2019,1,104.18
Nadym,2019,1,19.33
Nizhnevartovsk,2019,1,147.5
Kazan (Begiševo),2019,1,30.51
Nizhny Novgorod (Strigino),2019,1,45.36
Nikolaevsk-on-Amur,2019,1,5.73
Novokuznetsk (Spichenkovo),2019,1,66.8
Novosibirsk (Tolmachyovo),2019,1,1615.6
New Urengoy,2019,1,240.72
Nogliki,2019,1,3.63
Norilsk,2019,1,700.82
Noyabrsk,2019,1,39.7
Omolon,2019,1,0.0
Omsk (central),2019,1,195.0
Omsukçan,2019,1,0.0
Orenburg (central),2019,1,67.99
Okha,2019,1,4.81
Okhotsk,2019,1,92.34
Penza,2019,1,0.2
Petropavlovsk (Yelizovo),2019,1,406.5
Pauline Osipenko,2019,1,0.0
Polar,2019,1,18.29
Samara (Kurumoch),2019,1,174.52
Saint Petersburg (Pulkovo),2019,1,1710.0
Saransk,2019,1,0.0
Saratov (central),2019,1,18.8
Sochi,2019,1,146.42
Stavropol (Shpakovskoye),2019,1,46.0
Strezhevoy,2019,1,1.7
Surgut,2019,1,196.18
Syktyvkar,2019,1,40.3
Tiksi,2019,1,27.89
Tomsk (Bogashevo),2019,1,107.75
Ust-Tsilma,2019,1,0.0
Tyumen (Roschino),2019,1,238.3
Ulyanovsk (Barataevka),2019,1,15.95
Ulyanovsk (East),2019,1,0.0
Ufa,2019,1,235.41
Khabarovsk (MVL),2019,1,0.29
Khabarovsk (New),2019,1,1172.63
Khanty-Mansiysk,2019,1,29.47
Khatanga,2019,1,0.0
Herpuchi,2019,1,0.12
Cheboksary,2019,1,1.1
Chelyabinsk (Balandino),2019,1,165.64
Reads (tub),2019,1,148.04
Çumikan,2019,1,1.61
Shakhtars'k,2019,1,0.0
Shushenskoe,2019,1,0.0
Ekimçan,2019,1,0.0
Yuzhno-(Khomutovo),2019,1,527.55
Yakutsk,2019,1,356.46
Yamburg,2019,1,0.0
Yaroslavl (Tunoshna),2019,1,46.99
Abakan,2018,1,63.39
Anapa (Vitjazevo),2018,1,43.38
Arkhangelsk (Talagy),2018,1,119.56
Astrakhan (Narimanovo),2018,1,47.67
Trip,2018,1,0.0
Barnaul (Titov Name),2018,1,0.0
Belgorod,2018,1,0.0
Novy Urengoy,2018,1,6.5
Blagoveshchensk,2018,1,195.2
Bogorodskoe,2018,1,0.0
Bugulma,2018,1,2.04
Vladivostok (Knevichi),2018,1,1480.63
Volgograd (Gumrak),2018,1,53.0
Vorkuta,2018,1,4.44
Voronezh (Chertovitskoe),2018,1,12.37
Ekaterinburg (Koltsovo),2018,1,1078.02
Zeyskaya,2018,1,0.0
Ivanovo (Yuzhny),2018,1,22.6
Irkutsk,2018,1,537.06
Kaluga,2018,1,0.0
Kemerovo,2018,1,75.86
Keperveem,2018,1,44.0
Kogalym,2018,1,48.4
Komsomolsk-on-Amur,2018,1,64.54
Krasnodar (Paszkowski),2018,1,344.77
Krasnoyarsk (Emelyanovo),2018,1,763.99
Kursk (Eastern),2018,1,0.0
red,2018,1,0.98
Zabaykalsk,2018,1,16.79
Magadan (Falcon),2018,1,0.0
Makhachkala (Uytash),2018,1,77.0
Mineral water,2018,1,94.96
Peaceful,2018,1,559.1
Moscow (Vnukovo),2018,1,3722.28
Moscow (Domodedovo),2018,1,8302.24
Moscow (Sheremetyevo),2018,1,21304.8
Murmansk,2018,1,109.49
Nadym,2018,1,22.93
Nizhnevartovsk,2018,1,225.2
Nizhny Novgorod (Strigino),2018,1,44.47
Nikolaevsk-on-Amur,2018,1,4.0
Novokuznetsk,2018,1,111.1
Novosibirsk (Tolmachyovo),2018,1,1340.5
New Urengoy,2018,1,232.2
Nogliki,2018,1,0.0
Norilsk,2018,1,651.24
Noyabrsk,2018,1,32.72
Omolon,2018,1,0.0
Omsk (central),2018,1,187.0
Omsukçan,2018,1,0.0
Orenburg (central),2018,1,93.45
Okha,2018,1,0.0
Okhotsk,2018,1,0.0
Perm (Bolshoye Savino),2018,1,121.14
Petropavlovsk (Yelizovo),2018,1,389.37
Pauline Osipenko,2018,1,0.0
Polar,2018,1,17.13
Samara (Kurumoch),2018,1,180.74
Saint Petersburg (Pulkovo),2018,1,1791.0
Saratov (central),2018,1,26.7
Sochi,2018,1,137.67
Stavropol (Shpakovskoye),2018,1,45.0
Strezhevoy,2018,1,0.0
Surgut,2018,1,195.68
Syktyvkar,2018,1,43.97
Tiksi,2018,1,32.61
Tomsk (Bogashevo),2018,1,105.65
Ust-Tsilma,2018,1,0.0
Tyumen (Roschino),2018,1,229.6
Ufa,2018,1,275.02
Khabarovsk (MVL),2018,1,1.42
Khabarovsk (New),2018,1,1413.91
Khanty-Mansiysk,2018,1,26.0
Khatanga,2018,1,119.6
Herpuchi,2018,1,0.0
Chelyabinsk (Balandino),2018,1,201.43
Reads (tub),2018,1,176.24
Çumikan,2018,1,0.0
Shakhtars'k,2018,1,0.0
Ekimçan,2018,1,0.0
Yuzhno-(Khomutovo),2018,1,590.83
Yakutsk,2018,1,507.45
Yamburg,2018,1,0.0
Yaroslavl (Tunoshna),2018,1,240.67
Abakan,2017,1,48.36
