Airportname,Year,longitude,latitude,month,value
Abakan,2020,91.39973499999999,53.751351,1,43.58
Anapa (Vitjazevo),2020,37.341511,45.003748,1,49.08
Arkhangelsk (Talagy),2020,40.714892,64.596138,1,96.0
Astrakhan (Narimanovo),2020,47.999896,46.287344,1,53.55
Trip,2020,138.042241,56.431311,1,1.5
Barnaul (Titov Name),2020,83.547723,53.361377000000005,1,163.4
Belgorod,2020,36.570541,50.645157,1,5.24
Novy Urengoy,2020,66.694583,63.697412,1,5.5
Blagoveshchensk (Ignatevo),2020,127.40753600000001,50.42238,1,156.7
Bogorodskoe,2020,140.44579199999998,52.376818,1,0.12
Bugulma,2020,52.79030600000001,54.634026,1,1.62
Vladivostok (Knevichi),2020,132.16510300000002,43.396702000000005,1,1207.08
Volgograd (Gumrak),2020,44.356743,48.792276,1,47.0
Vorkuta,2020,64.00447,67.49024399999999,1,3.75
Voronezh (Chertovitskoe),2020,39.225359000000005,51.812576,1,16.03
Ekaterinburg (Koltsovo),2020,60.802263,56.75025600000001,1,1028.95
Zeyskaya,2020,127.08798700000001,53.690803,1,0.24
Ivanovo (Yuzhny),2020,40.943709999999996,56.942303,1,0.01
Izhevsk,2020,53.45064,56.830870999999995,1,45.27
Irkutsk,2020,104.355777,52.273103000000006,1,463.74
Kazan,2020,49.298590999999995,55.608089,1,114.12
Kaluga (Grabtsevo),2020,36.366974,54.546890000000005,1,4.28
Kemerovo,2020,86.118863,55.28199,1,70.28
Keperveem,2020,166.145801,67.84458199999999,1,90.0
Kirov (Pobedilovo),2020,49.346758,58.4975,1,5.2
Kogalym,2020,74.5295,62.195565,1,2.12
Komsomolsk-on-Amur,2020,136.929004,50.403351,1,108.45
Krasnodar (Paszkowski),2020,39.139669,45.033923,1,376.93
Krasnoyarsk,2020,92.486391,56.180578000000004,1,918.55
Krasnoyarsk (Cheremshanka),2020,92.486391,56.180578000000004,1,26.5
Kursk (Eastern),2020,36.282441999999996,51.749429,1,0.1
red,2020,94.40495,51.676108,1,0.25
Zabaykalsk,2020,114.831553,60.722584999999995,1,15.24
Magadan (Falcon),2020,150.73116000000002,59.914272,1,460.0
Makhachkala (Uytash),2020,47.655707,42.820909,1,239.1
Mineral water,2020,43.087648,44.217799,1,100.09
Peaceful,2020,114.02243100000001,62.531381999999994,1,284.94
Moscow (Vnukovo),2020,37.295014,55.608562,1,2987.18
Moscow (Domodedovo),2020,37.767995,55.43716800000001,1,6968.21
Moscow (Sheremetyevo),2020,37.405974,55.962962,1,23251.2
Murmansk,2020,32.758163,68.784743,1,126.16
Nadym,2020,72.69258,65.479934,1,25.31
Nizhnevartovsk,2020,76.494691,60.951112,1,113.3
Kazan (Begiševo),2020,52.101325,55.564404,1,31.75
Nizhny Novgorod (Strigino),2020,43.791127,56.219628,1,39.81
Nikolaevsk-on-Amur,2020,140.663597,53.149961,1,3.33
Novokuznetsk (Spichenkovo),2020,86.864303,53.805377,1,67.1
Novosibirsk (Tolmachyovo),2020,82.667491,55.009425,1,1605.3
New Urengoy,2020,76.52242199999999,66.072965,1,239.5
Nogliki,2020,143.140926,51.788476,1,2.87
Norilsk,2020,87.342342,69.325039,1,689.49
Noyabrsk,2020,75.274455,63.181841000000006,1,38.9
Omolon,2020,160.545443,65.236944,1,6.0
Omsk (central),2020,73.007305,55.085528000000004,1,203.0
Omsukçan,2020,155.740193,62.459104,1,0.08
Orenburg (central),2020,55.457063,51.79139,1,73.23
Okha,2020,142.890431,53.517945,1,4.49
Okhotsk,2020,143.065575,59.413192,1,77.46
Penza,2020,45.023041,53.118367000000006,1,0.41
Petropavlovsk (Yelizovo),2020,158.425285,53.169328,1,415.53
